Latitude-longitude information,Name 
-22.9158306 -43.17797240000001,Roberto Ohana Advogados Associados
-22.9287344 -43.1795205,Recursos de Multa de Trânsito e Suspensão da CNH
-22.9240866 -43.1813715,Biblioteca Comunitária Santo Amaro
-22.9122397 -43.1782811,Centro Cultural Casa da FEB Força Expedicionária Brasileira
-22.9320147 -43.1803165,Santo Empório
-22.9326862 -43.1827907,Wine & Point
-22.9334623 -43.1769099,Shop Mestre-Cervejeiro.com Rio de Janeiro - Flamengo
-22.9196447 -43.1799645,Ogro Beer Cerveja Artesanal
-22.9149626 -43.17885,Lapa and Art
-22.914452 -43.179573,Distribuidora NT &FB
-22.9140892 -43.1789824,Parada Legal
-22.9140453 -43.1787006,Dany Star distribuidora de bebidas e gelo
-22.914929 -43.1869078,leas mesas ecadeiras aluguel
-22.9349702 -43.18513290000001,General Public Defender's Office of Rio de Janeiro State
-22.9307791 -43.18165870000001,IRPH
-22.9349702 -43.18513290000001,IV Região Administrativa da Prefeitura
-22.9375224 -43.1836548,Governo do Estado do Rio de Janeiro
-22.9217534 -43.1764934,Jairo Chaveiro
-22.9318462 -43.1799188,CHAVEIRO IZAIAS
-22.9274721 -43.1774297,Bazar e Cutelaria S.O.S do Catete
-22.9257858 -43.1764441,Chaveiro da Silveira 24h
-22.9236383 -43.1768422,Chaveiro Curvello 24 Horas
-22.9288785 -43.177462,Chaveiro 24 Horas
-22.93339259999999 -43.1855388,Chaveiro das Laranjeiras
-22.9347531 -43.1770054,Chaveiro Tamoios
-22.9369983 -43.1778,Chaveiro-24 Horas
-22.9147813 -43.1885258,L.M. Cabral Chaveiro 24 horas
-22.9145728 -43.18824180000001,Sapataria La Câmera
-22.9175 -43.1775,Hotel Diamond
-22.9221732 -43.17445839999999,Hotel Golden Park Aeroporto Rio de Janeiro
-22.9286161 -43.1762685,Rondônia Palace Hotel
-22.9281254 -43.1751556,Mengo Palace Hotel
-22.9158 -43.1788066,Hotel Americano
-22.9354133 -43.17973850000001,Hostel in Rio Suites
-22.9151738 -43.18750259999999,Hotel Monte Alegre
-22.9168573 -43.1816198,Rio Hostel & Suítes
-22.925266 -43.173735,Hotel Inglês
-22.9145681 -43.182605,Books Hostel
-22.9334787 -43.1754971,Hotel Venezuela
-22.9262591 -43.1768114,Hotel Riazor
-22.9328683 -43.1762828,Hotel Barão do Flamengo
-22.927967 -43.1799341,Domino's Pizza - Catete
-22.924668 -43.17738,Cantina Da Nonna Catete
-22.930671 -43.179517,Vezpa Pizzas - Largo do Machado
-22.9330838 -43.1833734,Pizzaria do Bairro
-22.914844 -43.186453,Pizza Vip
-22.9292177 -43.17946730000001,Pizza do Rão
-22.9283805 -43.17654629999999,Alimento
-22.9212256 -43.1852224,Sushi Sim !
-22.91928799999999 -43.179302,STUDIO PIZZA
-22.93183 -43.1789777,Vista boa lanches
-22.93187649999999 -43.17787999999999,Chalé das Massas
-22.9328693 -43.1832765,Hoje tem Curry! - Comida Indiana
-22.9247054 -43.1769075,Super Galeto
-22.9288889 -43.1775,Manjerona Sucos & Cia
-22.9202942 -43.1769374,Glória Ling
-22.9314001 -43.17910180000001,Bigbi
-22.93144749999999 -43.1791502,Bigbi Sucos
-22.9315074 -43.17876479999999,Megamatte
-22.9192227 -43.17746999999999,Braseirinho da Glória
-22.9331138 -43.1765431,Famous Burger
-22.9207593 -43.17854029999999,VIDEO LOCADORA PRIMOR
-22.91422 -43.179814,Accec - Theater Vocational
-22.924221 -43.1773081,Mudanças e Transportes Glória
-22.928773 -43.17703899999999,Buscar Cargas
-22.9205589 -43.1928274,Mudanças e Guarda Móveis Santa Tereza
-22.9296596 -43.17699770000001,Tip Top Tansportes
-22.9230481 -43.1830969,Reliquia Express Fretes
-22.9250045 -43.1768049,Abada Mudanças
-22.9326654 -43.17872879999999,Meu Pai Mudanças
-22.9320346 -43.1767656,Rodrigo Mudanças
-22.9331554 -43.1772145,|Mudanças 24 horas em Flamengo RJ - Mudanças interestaduais, Mudanças residenciais em Flamengo RJ|
-22.9338735 -43.1861886,|Mudanças Residenciais RJ Laranjeiras, Copacabana, Leblon, Ipanema, Tijuca, Méier, Barra da Tijuca|
-22.9234662 -43.1922326,JJ Fretes e Mudanças
-22.9300346 -43.1764946,Oi Futuro Flamengo
-22.9364364 -43.1851284,Sala de Troféus - Fluminense FC
